[2025-06-14 02:57:59,087] 20 root - INFO - Initiate the data ingestion
[2025-06-14 02:58:07,468] 65 root - INFO - Performed train test split on the dataframe
[2025-06-14 02:58:07,468] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-14 02:58:07,469] 75 root - INFO - Exporting train and test file path.
[2025-06-14 02:58:07,515] 84 root - INFO - Exported train and test file path.
[2025-06-14 02:58:07,516] 22 root - INFO - Data Initiation Completed
[2025-06-14 02:58:07,520] 26 root - INFO - Initiate the data Validation
[2025-06-14 02:58:07,576] 34 root - INFO - Required number of columns:2
[2025-06-14 02:58:07,576] 35 root - INFO - Data frame has columns:31
[2025-06-14 02:58:07,576] 34 root - INFO - Required number of columns:2
[2025-06-14 02:58:07,576] 35 root - INFO - Data frame has columns:31
[2025-06-14 02:58:07,706] 28 root - INFO - data Validation Completed
[2025-06-14 02:58:07,706] 31 root - INFO - data Transformation started
[2025-06-14 02:58:07,707] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-06-14 02:58:07,707] 65 root - INFO - Starting data transformation
[2025-06-14 02:58:07,722] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-06-14 02:58:07,723] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-14 02:58:07,733] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-06-14 02:58:07,736] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-06-14 02:58:07,736] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-06-14 02:58:07,738] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-06-14 02:58:07,739] 35 root - INFO - data Transformation completed
[2025-06-14 02:58:07,739] 37 root - INFO - Model Training sstared
[2025-06-14 03:00:33,098] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-06-14 03:00:33,098] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-06-14 03:00:33,098] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-06-14 03:00:33,118] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-06-14 03:00:33,118] 152 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_14_2025_02_57_57\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.990555499136793, precision_score=0.9890488744676537, recall_score=0.99206672091131), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9795427196149218, precision_score=0.9752396166134185, recall_score=0.983883964544722))
[2025-06-14 03:00:33,120] 42 root - INFO - Model Training artifact created
