[2025-06-14 03:32:25,544] 20 root - INFO - Initiate the data ingestion
[2025-06-14 03:32:34,474] 65 root - INFO - Performed train test split on the dataframe
[2025-06-14 03:32:34,475] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-14 03:32:34,475] 75 root - INFO - Exporting train and test file path.
[2025-06-14 03:32:34,578] 84 root - INFO - Exported train and test file path.
[2025-06-14 03:32:34,580] 22 root - INFO - Data Initiation Completed
[2025-06-14 03:32:34,590] 26 root - INFO - Initiate the data Validation
[2025-06-14 03:32:34,699] 34 root - INFO - Required number of columns:2
[2025-06-14 03:32:34,699] 35 root - INFO - Data frame has columns:31
[2025-06-14 03:32:34,700] 34 root - INFO - Required number of columns:2
[2025-06-14 03:32:34,700] 35 root - INFO - Data frame has columns:31
[2025-06-14 03:32:35,014] 28 root - INFO - data Validation Completed
[2025-06-14 03:32:35,015] 31 root - INFO - data Transformation started
[2025-06-14 03:32:35,015] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-06-14 03:32:35,015] 65 root - INFO - Starting data transformation
[2025-06-14 03:32:35,058] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-06-14 03:32:35,058] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-14 03:32:35,085] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-06-14 03:32:35,092] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-06-14 03:32:35,092] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-06-14 03:32:35,097] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-06-14 03:32:35,100] 35 root - INFO - data Transformation completed
[2025-06-14 03:32:35,100] 37 root - INFO - Model Training sstared
[2025-06-14 03:54:52,230] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-06-14 03:54:52,231] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-06-14 03:54:52,232] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-06-14 03:54:52,304] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-06-14 03:54:52,304] 156 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_14_2025_03_32_18\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915676115005587, precision_score=0.9896572703305617, recall_score=0.993485342019544), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9776179056754596, precision_score=0.9729514717581543, recall_score=0.9823293172690764))
[2025-06-14 03:54:52,310] 42 root - INFO - Model Training artifact created
